Date,unemployment,fed interest rate,growth rate,Average GBP/USD
20100701,0.094,0.0018,0.025637666,1.528177
20100601,0.094,0.0018,0.025637666,1.475054
20100501,0.096,0.002,0.025637666,1.465949
20100401,0.099,0.002,0.025637666,1.532873
20100301,0.099,0.0016,0.025637666,1.504956
20100201,0.098,0.0013,0.025637666,1.5623
20100101,0.098,0.0011,0.025637666,1.616312
20091201,0.099,0.0012,-0.025367571,1.624166
20091101,0.099,0.0012,-0.025367571,1.659424
20091001,0.1,0.0012,-0.025367571,1.618541
20090901,0.098,0.0015,-0.025367571,1.633977
20090801,0.096,0.0016,-0.025367571,1.654207
20090701,0.095,0.0016,-0.025367571,1.636377
20090601,0.095,0.0021,-0.025367571,1.636207
20090501,0.094,0.0018,-0.025367571,1.543706
20090401,0.09,0.0015,-0.025367571,1.469639
20090301,0.087,0.0018,-0.025367571,1.418862
20090201,0.083,0.0022,-0.025367571,1.441678
20090101,0.078,0.0015,-0.025367571,1.442605
20081201,0.073,0.0016,-0.001365798,1.487133
20081101,0.068,0.0039,-0.001365798,1.533716
20081001,0.065,0.0097,-0.001365798,1.694127
20080901,0.061,0.0181,-0.001365798,1.798062
20080801,0.061,0.02,-0.001365798,1.88914
20080701,0.058,0.0201,-0.001365798,1.988431
20080601,0.056,0.02,-0.001365798,1.96491
20080501,0.054,0.0198,-0.001365798,1.964083
20080401,0.05,0.0228,-0.001365798,1.981561
20080301,0.051,0.0261,-0.001365798,2.003652
20080201,0.049,0.0298,-0.001365798,1.963949
20080101,0.05,0.0394,-0.001365798,1.969645
20071201,0.05,0.0424,0.018761715,2.022012
20071101,0.047,0.0449,0.018761715,2.071328
20071001,0.047,0.0476,0.018761715,2.043749
20070901,0.047,0.0494,0.018761715,2.017319
20070801,0.046,0.0502,0.018761715,2.010232
20070701,0.047,0.0526,0.018761715,2.03379
20070601,0.046,0.0525,0.018761715,1.986126
20070501,0.044,0.0525,0.018761715,1.983011
20070401,0.045,0.0525,0.018761715,1.989604
20070301,0.044,0.0526,0.018761715,1.946769
20070201,0.045,0.0526,0.018761715,1.957248
20070101,0.046,0.0525,0.018761715,1.959481
20061201,0.044,0.0524,0.028549723,1.963674
20061101,0.045,0.0525,0.028549723,1.911275
20061001,0.044,0.0525,0.028549723,1.875158
20060901,0.045,0.0525,0.028549723,1.885784
20060801,0.047,0.0525,0.028549723,1.89327
20060701,0.047,0.0524,0.028549723,1.844067
20060601,0.046,0.0499,0.028549723,1.842272
20060501,0.046,0.0494,0.028549723,1.868877
20060401,0.047,0.0479,0.028549723,1.766614
20060301,0.047,0.0459,0.028549723,1.743681
20060201,0.048,0.0449,0.028549723,1.748031
20060101,0.047,0.0429,0.028549723,1.764356
20051201,0.049,0.0416,0.035132138,1.745604
20051101,0.05,0.04,0.035132138,1.734968
20051001,0.05,0.0378,0.035132138,1.763338
20050901,0.05,0.0362,0.035132138,1.808866
20050801,0.049,0.035,0.035132138,1.793878
20050701,0.05,0.0326,0.035132138,1.751331
20050601,0.05,0.0304,0.035132138,1.818528
20050501,0.051,0.03,0.035132138,1.855962
20050401,0.052,0.0279,0.035132138,1.894504
20050301,0.052,0.0263,0.035132138,1.906674
20050201,0.054,0.025,0.035132138,1.886968
20050101,0.053,0.0228,0.035132138,1.877898
20041201,0.054,0.0216,0.037988911,1.929198
20041101,0.054,0.0193,0.037988911,1.859549
20041001,0.055,0.0176,0.037988911,1.806263
20040901,0.054,0.0161,0.037988911,1.793308
20040801,0.054,0.0143,0.037988911,1.81892
20040701,0.055,0.0126,0.037988911,1.842391
20040601,0.056,0.0103,0.037988911,1.827613
20040501,0.056,0.01,0.037988911,1.788013
20040401,0.056,0.01,0.037988911,1.801568
20040301,0.058,0.01,0.037988911,1.826804
20040201,0.056,0.0101,0.037988911,1.868417
20040101,0.057,0.01,0.037988911,1.822392
20031201,0.057,0.0098,0.028612108,1.750153
20031101,0.058,0.01,0.028612108,1.689056
20031001,0.06,0.0101,0.028612108,1.676061
20030901,0.061,0.0101,0.028612108,1.610007
20030801,0.061,0.0103,0.028612108,1.592969
20030701,0.062,0.0101,0.028612108,1.623715
20030601,0.063,0.0122,0.028612108,1.660912
20030501,0.061,0.0126,0.028612108,1.623801
20030401,0.06,0.0126,0.028612108,1.574306
20030301,0.059,0.0125,0.028612108,1.583206
20030201,0.059,0.0126,0.028612108,1.608786
20030101,0.058,0.0124,0.028612108,1.616418
20021201,0.06,0.0124,0.017416953,1.585669
20021101,0.059,0.0134,0.017416953,1.571813
20021001,0.057,0.0175,0.017416953,1.557468
20020901,0.057,0.0175,0.017416953,1.55536
20020801,0.057,0.0174,0.017416953,1.536616
20020701,0.058,0.0173,0.017416953,1.553502
20020601,0.058,0.0175,0.017416953,1.483421
20020501,0.058,0.0175,0.017416953,1.45966
20020401,0.059,0.0175,0.017416953,1.442547
20020301,0.057,0.0173,0.017416953,1.422367
20020201,0.057,0.0174,0.017416953,1.42256
20020101,0.057,0.0173,0.017416953,1.432466
20011201,0.057,0.0182,0.009983408,1.439578
20011101,0.055,0.0209,0.009983408,1.437089
20011001,0.053,0.0249,0.009983408,1.4519
20010901,0.05,0.0307,0.009983408,1.462598
20010801,0.049,0.0365,0.009983408,1.436756
20010701,0.046,0.0377,0.009983408,1.414185
20010601,0.045,0.0397,0.009983408,1.401248
20010501,0.043,0.0421,0.009983408,1.425351
20010401,0.044,0.048,0.009983408,1.434373
20010301,0.043,0.0531,0.009983408,1.445526
20010201,0.042,0.0549,0.009983408,1.453769
20010101,0.042,0.0598,0.009983408,1.478083
20001201,0.039,0.064,0.04127484,1.462694
20001101,0.039,0.0651,0.04127484,1.42641
20001001,0.039,0.0651,0.04127484,1.451009
20000901,0.039,0.0652,0.04127484,1.435113
20000801,0.041,0.065,0.04127484,1.489248
20000701,0.04,0.0654,0.04127484,1.508161
20000601,0.04,0.0653,0.04127484,1.508368
20000501,0.04,0.0627,0.04127484,1.506711
20000401,0.038,0.0602,0.04127484,1.583418
20000301,0.04,0.0585,0.04127484,1.579318
20000201,0.041,0.0573,0.04127484,1.599957
20000101,0.04,0.0545,0.04127484,1.63938
19991201,0.04,0.053,0.04753236,1.613825
19991101,0.041,0.0542,0.04753236,1.622861
19991001,0.041,0.052,0.04753236,1.657639
19990901,0.042,0.0522,0.04753236,1.623553
19990801,0.042,0.0507,0.04753236,1.606239
19990701,0.043,0.0499,0.04753236,1.573754
19990601,0.043,0.0476,0.04753236,1.595975
19990501,0.042,0.0474,0.04753236,1.614581
19990401,0.043,0.0474,0.04753236,1.60969
19990301,0.042,0.0481,0.04753236,1.621282
19990201,0.044,0.0476,0.04753236,1.627806
19990101,0.043,0.0463,0.04753236,1.651507
19981201,0.044,0.0468,0.044814076,1.670334
19981101,0.044,0.0483,0.044814076,1.661805
19981001,0.045,0.0507,0.044814076,1.694273
19980901,0.046,0.0551,0.044814076,1.680726
19980801,0.045,0.0555,0.044814076,1.63319
19980701,0.045,0.0554,0.044814076,1.643831
19980601,0.045,0.0556,0.044814076,1.650573
19980501,0.044,0.0549,0.044814076,1.638196
19980401,0.043,0.0545,0.044814076,1.671799
19980301,0.047,0.0549,0.044814076,1.661611
19980201,0.046,0.0551,0.044814076,1.63955
19980101,0.046,0.0556,0.044814076,1.636476
19971201,0.047,0.055,0.044472163,1.661801
19971101,0.046,0.0552,0.044472163,1.688106
19971001,0.047,0.055,0.044472163,1.631451
19970901,0.049,0.0554,0.044472163,1.599996
19970801,0.048,0.0554,0.044472163,1.602056
19970701,0.049,0.0552,0.044472163,1.67166
19970601,0.05,0.0556,0.044472163,1.644394
19970501,0.049,0.055,0.044472163,1.633921
19970401,0.051,0.0551,0.044472163,1.629292
19970301,0.052,0.0539,0.044472163,1.607813
19970201,0.052,0.0519,0.044472163,1.625859
19970101,0.053,0.0525,0.044472163,1.662405
19961201,0.054,0.0529,0.037725013,1.664441
19961101,0.054,0.0531,0.037725013,1.662677
19961001,0.052,0.0524,0.037725013,1.585622
19960901,0.052,0.053,0.037725013,1.559348
19960801,0.051,0.0522,0.037725013,1.549908
19960701,0.055,0.054,0.037725013,1.553957
19960601,0.053,0.0527,0.037725013,1.542001
19960501,0.056,0.0524,0.037725013,1.514997
19960401,0.056,0.0522,0.037725013,1.516344
19960301,0.055,0.0531,0.037725013,1.52722
19960201,0.055,0.0522,0.037725013,1.536057
19960101,0.056,0.0556,0.037725013,1.531391
